Data;EMBI + Risco-Brasil - - - JP Morgan - JPM366_EMBI366;
1994.04;;
1994.05;24072;
1994.06;24339;
1994.07;22286;
1994.08;21069;
1994.09;16989;
1994.10;15563;
1994.11;17217;
1994.12;17678;
1995.01;21425;
1995.02;21624;
1995.03;33347;
1995.04;25152;
1995.05;23811;
1995.06;24629;
1995.07;21514;
1995.08;24727;
1995.09;20138;
1995.10;20489;
1995.11;22489;
1995.12;20049;
1996.01;17440;
1996.02;15164;
1996.03;18103;
1996.04;17016;
1996.05;16491;
1996.06;14828;
1996.07;14834;
1996.08;14275;
1996.09;11127;
1996.10;11997;
1996.11;10781;
1996.12;11208;
1997.01;9867;
1997.02;7755;
1997.03;8933;
1997.04;10257;
1997.05;9009;
1997.06;8313;
1997.07;8413;
1997.08;7785;
1997.09;7827;
1997.10;9163;
1997.11;11551;
1997.12;12382;
1998.01;11700;
1998.02;9763;
1998.03;10228;
1998.04;9795;
1998.05;10523;
1998.06;13615;
1998.07;13541;
1998.08;20086;
1998.09;28786;
1998.10;26415;
1998.11;19323;
1998.12;26333;
1999.01;27532;
1999.02;24914;
1999.03;28171;
1999.04;19045;
1999.05;19004;
1999.06;22131;
1999.07;22286;
1999.08;24609;
1999.09;21341;
1999.10;18739;
1999.11;15910;
1999.12;15924;
2000.01;13865;
2000.02;14081;
2000.03;15016;
2000.04;14988;
2000.05;17790;
2000.06;15887;
2000.07;14781;
2000.08;15727;
2000.09;14644;
2000.10;16452;
2000.11;17499;
2000.12;15468;
2001.01;15826;
2001.02;14135;
2001.03;16851;
2001.04;16190;
2001.05;19200;
2001.06;17535;
2001.07;20636;
2001.08;21744;
2001.09;20867;
2001.10;26827;
2001.11;22060;
2001.12;18572;
2002.01;18598;
2002.02;16856;
2002.03;15311;
2002.04;16624;
2002.05;21579;
2002.06;27019;
2002.07;39912;
2002.08;43162;
2002.09;40199;
2002.10;46787;
2002.11;35451;
2002.12;31881;
2003.01;28976;
2003.02;25863;
2003.03;22897;
2003.04;18881;
2003.05;17245;
2003.06;15855;
2003.07;17972;
2003.08;16386;
2003.09;14791;
2003.10;14420;
2003.11;11353;
2003.12;10762;
2004.01;9148;
2004.02;10912;
2004.03;12779;
2004.04;12481;
2004.05;15242;
2004.06;14708;
2004.07;13531;
2004.08;12283;
2004.09;10755;
2004.10;9832;
2004.11;9652;
2004.12;9153;
2005.01;8868;
2005.02;8103;
2005.03;9291;
2005.04;9557;
2005.05;9595;
2005.06;9298;
2005.07;8585;
2005.08;9231;
2005.09;8264;
2005.10;7808;
2005.11;7677;
2005.12;7212;
2006.01;6219;
2006.02;4773;
2006.03;5276;
2006.04;4446;
2006.05;5660;
2006.06;5767;
2006.07;5031;
2006.08;5018;
2006.09;4809;
2006.10;4790;
2006.11;5057;
2006.12;4130;
2007.01;4216;
2007.02;3663;
2007.03;4106;
2007.04;3094;
2007.05;3396;
2007.06;3089;
2007.07;3715;
2007.08;4632;
2007.09;3822;
2007.10;3908;
2007.11;4659;
2007.12;4302;
2008.01;5613;
2008.02;5393;
2008.03;5525;
2008.04;5369;
2008.05;4512;
2008.06;4100;
2008.07;5343;
2008.08;4956;
2008.09;6358;
2008.10;10803;
2008.11;8887;
2008.12;10528;
2009.01;9016;
2009.02;8584;
2009.03;9541;
2009.04;8042;
2009.05;6577;
2009.06;6184;
2009.07;6215;
2009.08;5301;
2009.09;5295;
2009.10;4988;
2009.11;4639;
2009.12;4513;
2010.01;3956;
2010.02;4457;
2010.03;4361;
2010.04;3764;
2010.05;4710;
2010.06;5184;
2010.07;4923;
2010.08;4540;
2010.09;4657;
2010.10;3922;
2010.11;3926;
2010.12;4086;
2011.01;3581;
2011.02;3485;
2011.03;3973;
2011.04;3440;
2011.05;3713;
2011.06;3767;
2011.07;3405;
2011.08;4611;
2011.09;5321;
2011.10;5033;
2011.11;5049;
2011.12;4816;
2012.01;4879;
2012.02;4253;
2012.03;3923;
2012.04;3696;
2012.05;4880;
2012.06;4586;
2012.07;4449;
2012.08;3931;
2012.09;3250;
2012.10;3457;
2012.11;3408;
2012.12;2943;
2013.01;3218;
2013.02;3233;
2013.03;3599;
2013.04;3870;
2013.05;4070;
2013.06;4585;
2013.07;5220;
2013.08;5227;
2013.09;4805;
2013.10;5035;
2013.11;4957;
2013.12;4996;
2014.01;5537;
2014.02;5076;
2014.03;4916;
2014.04;4609;
2014.05;4604;
2014.06;4327;
2014.07;4822;
2014.08;4610;
2014.09;4718;
2014.10;5518;
2014.11;4950;
2014.12;5834;
2015.01;6063;
2015.02;6179;
2015.03;7219;
2015.04;6440;
2015.05;5879;
2015.06;6420;
2015.07;7301;
2015.08;7027;
2015.09;8919;
2015.10;9083;
2015.11;8360;
2015.12;10713;
2016.01;10336;
2016.02;11157;
2016.03;9570;
2016.04;8464;
2016.05;8550;
2016.06;8407;
2016.07;7144;
2016.08;7122;
2016.09;6989;
2016.10;6568;
2016.11;7274;
2016.12;7275;
2017.01;6560;
2017.02;5559;
2017.03;6396;
2017.04;5105;
2017.05;6206;
2017.06;6357;
2017.07;5528;
2017.08;6248;
2017.09;5416;
2017.10;5299;
2017.11;5455;
2017.12;4779;
2018.01;4971;
2018.02;4505;
2018.03;5123;
2018.04;5150;
2018.05;6147;
2018.06;6841;
2018.07;6460;
2018.08;7031;
2018.09;6414;
2018.10;6149;
2018.11;5779;
2018.12;5399;
2019.01;5548;
2019.02;4809;
2019.03;5190;
2019.04;5518;
2019.05;5959;
2019.06;4966;
2019.07;5080;
2019.08;5278;
2019.09;4942;
2019.10;5601;
2019.11;4993;
2019.12;4664;
2020.01;4810;
2020.02;4219;
2020.03;7712;
2020.04;8855;
2020.05;8757;
2020.06;8134;
2020.07;8313;
2020.08;6770;
2020.09;7105;
2020.10;6955;
2020.11;6940;
2020.12;5787;
2021.01;5558;
2021.02;5529;
2021.03;6911;
2021.04;6010;
2021.05;5549;
2021.06;5814;
2021.07;6420;
2021.08;6761;
2021.09;6918;
2021.10;7070;
2021.11;7695;
2021.12;7754;
2022.01;6981;
2022.02;6283;
2022.03;7376;
2022.04;5856;
2022.05;6909;
2022.06;7345;
2022.07;6962;
2022.08;6788;
2022.09;6047;
2022.10;5401;
2022.11;5329;
2022.12;5438;
2023.01;5136;
2023.02;4753;
2023.03;5971;
2023.04;5141;
2023.05;5574;
2023.06;4198;
